attachment_id,title,source_export,source_url,source_page_count,source_pages_json
85,143021-e1763291423474,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/143021-e1763291423474.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""85"", ""title"": ""143021-e1763291423474"", ""url"": ""https://na.org.za/jhb/143021-e1763291423474/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4775"", ""title"": ""Add/Change Meeting"", ""url"": ""https://na.org.za/jhb/et_pb_layout/add-change-meeting/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""16"", ""title"": ""Add a Meeting"", ""url"": ""https://na.org.za/jhb/add-a-meeting/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
86,2151118274,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/2151118274.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""86"", ""title"": ""2151118274"", ""url"": ""https://na.org.za/jhb/2151118274/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4774"", ""title"": ""Preambles"", ""url"": ""https://na.org.za/jhb/et_pb_layout/preambles/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""20"", ""title"": ""Group Readings"", ""url"": ""https://na.org.za/jhb/group-readings/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
87,helping-each-other-scaled-1,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/helping-each-other-scaled-1.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""87"", ""title"": ""helping-each-other-scaled-1"", ""url"": ""https://na.org.za/jhb/helping-each-other-scaled-1/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4773"", ""title"": ""Contact Us"", ""url"": ""https://na.org.za/jhb/et_pb_layout/contact-us/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""41"", ""title"": ""Contact Us"", ""url"": ""https://na.org.za/jhb/contact-us/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
88,123795,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/123795.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""88"", ""title"": ""123795"", ""url"": ""https://na.org.za/jhb/123795/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4772"", ""title"": ""ASC Contacts"", ""url"": ""https://na.org.za/jhb/et_pb_layout/asc-contacts/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""39"", ""title"": ""ASC Contact Details"", ""url"": ""https://na.org.za/jhb/asc-contact-details/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
89,2147770870-e1763292893626,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/2147770870-e1763292893626.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""89"", ""title"": ""2147770870-e1763292893626"", ""url"": ""https://na.org.za/jhb/2147770870-e1763292893626/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4771"", ""title"": ""Literature"", ""url"": ""https://na.org.za/jhb/et_pb_layout/literature/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""18"", ""title"": ""Literature"", ""url"": ""https://na.org.za/jhb/literature/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
90,120044,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/120044.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""90"", ""title"": ""120044"", ""url"": ""https://na.org.za/jhb/120044/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4770"", ""title"": ""Downloads"", ""url"": ""https://na.org.za/jhb/et_pb_layout/downloads/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""24"", ""title"": ""Downloads"", ""url"": ""https://na.org.za/jhb/downloads/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
91,2151930388,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/2151930388.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""91"", ""title"": ""2151930388"", ""url"": ""https://na.org.za/jhb/2151930388/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4769"", ""title"": ""Meetings"", ""url"": ""https://na.org.za/jhb/et_pb_layout/meetings/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""14"", ""title"": ""Meetings"", ""url"": ""https://na.org.za/jhb/na-meetings/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
92,banner-wc-001-e1763484626801,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/banner-wc-001-e1763484626801.webp,2,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""92"", ""title"": ""banner-wc-001-e1763484626801"", ""url"": ""https://na.org.za/jhb/banner-wc-001-e1763484626801/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4768"", ""title"": ""Home"", ""url"": ""https://na.org.za/jhb/et_pb_layout/home/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}]"
93,29376,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/29376.jpg,3,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""93"", ""title"": ""29376"", ""url"": ""https://na.org.za/jhb/29376/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4768"", ""title"": ""Home"", ""url"": ""https://na.org.za/jhb/et_pb_layout/home/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""9"", ""title"": ""Home"", ""url"": ""https://na.org.za/jhb/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
4782,home-banner,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/home-banner.jpg,2,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""4782"", ""title"": ""home-banner"", ""url"": ""https://na.org.za/jhb/home-banner/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""9"", ""title"": ""Home"", ""url"": ""https://na.org.za/jhb/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
