legacy_id,meeting_name,area,schedule,format,source_address,source_coordinates,legacy_geocode,address_verified,map_pin_confirmed,spelling_checked,contact_confirmed,priority,qa_status,source_url
3478,Durbanville Friday Keep Coming Back,Western Cape,Friday 18:00,in_person,"5 Louw St, Durbanville, Cape Town, 7550, South Africa","-33.8332707, 18.6511041",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/durbanville-2/
3479,Friday Kommetjie - Kom Recover,Western Cape,Friday 18:00,in_person,"4 Lighthouse Rd, Kommetjie, Cape Town, 7976, South Africa","-34.1417785, 18.3243449",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/st-josephs-church-friday-500-pm/
4372,Friday Mamelodi West,Pretoria,Friday 18:00,in_person,"19 Sweba St, Mamelodi - CA3, Pretoria, 0122, South Africa","-25.7086463, 28.3369821",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/mamelodi-west-open2/
3480,Green Point JFT (F2F),Western Cape,Friday 18:00,in_person,"2 Somerset Rd, Green Point, Cape Town, 8001, South Africa","-33.9161263, 18.418842",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/green-point/
3569,Salt Rock Friday Beach Meeting,Kwazulu-Natal,Friday 18:00,in_person,"14 Garden Rd, Umhlali Beach, Ballito, 4420, South Africa","-29.5039982, 31.2330596",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/friday-ballito-beach-meeting/
3570,Howick Friday,Kwazulu-Natal,Friday 18:00,in_person,"21 Buchanan St, Howick, 3290, South Africa","-29.4772844, 30.2192894",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/howick-friday/
3481,Blouberg Friday,Western Cape,Friday 18:00,in_person,"Soccer Clb, Table View, Cape Town, 7439, South Africa","-33.8268129, 18.4868162",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/blouberg-2/
3482,Just For Today CPT - Online,Western Cape,Friday 18:00,online,"Western Cape, South Africa","-33.2277918, 21.8568586",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/green-point-just-for-today/
4216,Tembisa - Friday -18:30,Johannesburg,Friday 18:30,in_person,"Congo St, Welomlambo, Thembisa, 1632, South Africa","-26.022636, 28.209684",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/tembisa-friday-1830/
4241,Edenvale - Friday - 19:00,Johannesburg,Friday 19:00,in_person,"68 6th Ave, Edenvale, 1609, South Africa","-26.1427833, 28.1509397",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/edenvale-friday-1900-2/
3684,Friday Constantia Meeting,Pretoria,Friday 19:00,in_person,"Lea St & Judith St, Waterkloof Glen, Pretoria, 0010, South Africa","-25.8044349, 28.280266",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/group-living-clean-format-literature-study/
3686,Friday Eersterus,Pretoria,Friday 19:00,inactive,"Eersterust, Pretoria, 0021, South Africa","-25.705664, 28.3140488",yes,Pending,Pending,Pending,Pending,High,Not started,https://na.org.za/blog/meetings/eersterus-2/
3573,Phoenix Friday,Kwazulu-Natal,Friday 19:00,in_person,"205 Canehaven Dr, Foresthaven, Phoenix, 4068, South Africa","-29.6862367, 31.017549",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/phoenix-friday/
3483,Living Queer Literature,Western Cape,Friday 19:00,in_person,"Cedar Ave, Pinelands, Cape Town, 7405, South Africa","-33.9365957, 18.5125672",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/living-queer-lit/
3572,Musgrave Friday,Kwazulu-Natal,Friday 19:00,in_person,"225 Musgrave Rd, Berea, Durban, 4001, South Africa","-29.8459121, 31.0009783",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/musgrave-friday/
4362,Spiritual Principles,Johannesburg,Friday 19:00,online,"Johannesburg, South Africa","-26.205647, 28.0337185",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/spiritual-principles-5/
4366,Virtual Online Group (VOG),Johannesburg,Friday 19:00,online,"Johannesburg, South Africa","-26.205647, 28.0337185",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/virtual-online-group-vog-7/
3688,Friday Lyttleton,Pretoria,Friday 19:00,inactive,"146 Union Ave, Lyttelton Manor, Centurion, 0157, South Africa","-25.8298077, 28.2058227",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/speaker/
3484,Friday Muizenberg,Western Cape,Friday 19:00,in_person,"5 Marchmont Rd, Muizenberg, Cape Town, 7950, South Africa","-34.104611, 18.4671755",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/muizenberg/
3485,Helderberg Friday,Western Cape,Friday 19:00,in_person,"28 Bright St, Somerset West, Cape Town, 7130, South Africa","-34.0807001, 18.8452615",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/helderberg/
3574,Austerville Friday,Kwazulu-Natal,Friday 19:00,in_person,"2 Petingo Grove, Austerville, Bluff, 4052, South Africa","-29.9409252, 30.9809018",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/austerville-friday/
4285,Benmore - Friday - 19:30,Johannesburg,Friday 19:30,in_person,"1 Pam Rd, Morningside, Sandton, 2057, South Africa","-26.0980843, 28.0510705",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/benmore-tuesdays-1930-2/
4228,Linden - Friday - 19:30,Johannesburg,Friday 19:30,in_person,"272 York Ave, Ferndale, Randburg, 2194, South Africa","-26.0965298, 27.9920091",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/linden-friday-1930/
3575,PMB Midlands Friday,Kwazulu-Natal,Friday 19:30,in_person,"40 Gaysingh Rd, Northdale, Pietermaritzburg, 3201, South Africa","-29.5662035, 30.3911176",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/pmb-midlands-friday/
4233,Daxina - Friday - 19:30,Johannesburg,Friday 19:30,in_person,"556 Chester St, Lenasia South, Johannesburg, 1829, South Africa","-26.3967209, 27.853189",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/lenasia-south-fridays-1930/
3577,Sydenham Friday,Kwazulu-Natal,Friday 19:30,in_person,"262 Daintree Ave, Asherville, Berea, 4091, South Africa","-29.8259055, 30.9866399",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/sydenham-friday/
3486,One Addict Helping Another,Western Cape,Friday 20:00,in_person,"Weltevreden Dr & Spine Rd, Rocklands, Cape Town, 7798, South Africa","-34.0659804, 18.6012716",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/mitchells-plain/
4345,Serenity@Sunrise,Johannesburg,Saturday 06:00,online,"Johannesburg, South Africa","-26.205647, 28.0337185",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/serenitysunrise-5/
3690,Saturday Hillcrest,Pretoria,Saturday 08:00,in_person,"St Wilfrid's Anglican Church, 96 Duxbury Rd, Hillcrest, Pretoria, 0083, South Africa","-25.7546412, 28.2368688",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/welcome-to-the-newcomer/
3487,Knysna JFT (F2F),Western Cape,Saturday 08:30,in_person,"Trotter St, Knysna Central, Knysna, 6570, South Africa","-34.037707, 23.0433059",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/knysna-wednesday-700-pm-2/
3579,Scottsville Saturday Online,Kwazulu-Natal,Saturday 08:30,online,"Scottsville, Pietermaritzburg, 3201, South Africa","-29.6162454, 30.3960724",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/scottsville-saturday-online/
4243,Sandhurst - Saturday - Peacock Group - 09:00,Johannesburg,Saturday 09:00,in_person,"50 Saxon Rd, Sandhurst, Sandton, 2196, South Africa","-26.1082, 28.03823",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/huringham-saturday-0900/
4250,Soweto - Saturday - 09:00,Johannesburg,Saturday 09:00,in_person,"827 Elias Motsoaledi Rd, Rockville, Soweto, 1818, South Africa","-26.2577127, 27.885626",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/soweto-saturday-0900-2/
4258,Randfontein - Saturday - 09:00,Johannesburg,Saturday 09:00,in_person,"Ralerata St, Mohlakeng, Randfontein, 1759, South Africa","-26.2265585, 27.6972899",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/randfontein-saturday-0900-2/
4336,JFT Meeting,Johannesburg,Saturday 09:00,online,"Johannesburg, South Africa","-26.205647, 28.0337185",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/jft-online-6/
3488,Kuilsriver Saturday,Western Cape,Saturday 09:00,in_person,"7 Carinus St, Kuils River, Cape Town, 7580, South Africa","-33.9271836, 18.678144",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/kuilsriver/
3581,Scottburgh Saturday,Kwazulu-Natal,Saturday 09:00,in_person,"Marine Terrace, Scottburgh, 4180, South Africa","-30.2848329, 30.7581999",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/scottburgh-saturday/
4267,Bedfordview - Saturday - 09:00,Johannesburg,Saturday 09:00,in_person,"3 Oxford Rd, Bedford Gardens, Johannesburg, 2007, South Africa","-26.193428, 28.1202789",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/bedfordview-saturday-0900-2/
3489,Pink Cloud,Western Cape,Saturday 09:30,online,"Western Cape, South Africa","-33.2277918, 21.8568586",yes,Pending,Not applicable,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/pink-cloud-2/
4279,Eldorado Park - Saturday - 10:00,Johannesburg,Saturday 10:00,inactive,"Eldorado Park, Soweto, 1811, South Africa","-26.2894207, 27.8956062",yes,Pending,Pending,Pending,Pending,High,Not started,https://na.org.za/blog/meetings/eldorado-park-saturday-1000-2/
3585,IsiZulu Saturday,Kwazulu-Natal,Saturday 14:00,in_person,"2 Cathedral Rd, Durban Central, Durban, 4001, South Africa","-29.8572211, 31.015922",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/isizulu-saturday/
3490,Lotus River Every Step Counts,Western Cape,Saturday 14:00,in_person,"St Clements Way, Lotus River, Cape Town, 7805, South Africa","-34.04347, 18.511869",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/lotus-river-every-step-counts/
3491,I Can't We Can - Mitchells Plain,Western Cape,Saturday 15:00,in_person,"Weltevreden Dr & Spine Rd, Rocklands, Cape Town, 7798, South Africa","-34.0659804, 18.6012716",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/mitchells_plein/
3587,Phoenix Saturday,Kwazulu-Natal,Saturday 15:00,in_person,"Strandbrook Cres & Towerbrook Cres, Brookdale, Phoenix, 4068, South Africa","-29.681745, 31.003895",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/phoenix-saturday/
3589,Umzinto Saturday,Kwazulu-Natal,Saturday 15:00,in_person,"Ocean View Rd, Hazelwood, eMuziwezinto, 4200, South Africa","-30.3008269, 30.6732368",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/umzinto-saturday/
3590,Redhill Saturday,Kwazulu-Natal,Saturday 16:00,in_person,"8 Firwood Rd, Greenwood Park, Durban North, 4051, South Africa","-29.7778036, 31.0205178",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/redhill-friday/
3592,Tongaat Saturday,Kwazulu-Natal,Saturday 16:00,in_person,"1 Victoria Ave, Gandhi`s Hill, oThongathi, 4400, South Africa","-29.5708341, 31.1198791",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/tongaat-saturday/
3492,Saturday Observatory,Western Cape,Saturday 16:30,in_person,"Rawson St & Collingwood Rd, Observatory, Cape Town, 7925, South Africa","-33.9368288, 18.4690212",no,Pending,Pending,Pending,Pending,Standard,Not started,https://na.org.za/blog/meetings/observatory-2/
