pdf_day,pdf_region,pdf_time,pdf_name,pdf_venue_excerpt,csv_name,csv_address,name_similarity,matched
thursday,JOHANNESBURG,7:30 pm,Weltevreden Park - Thursday - 19:30,"1140 Cornelius St, Weltevredenpark, Roodepoort, 1709, South Africa, 1140 Cornelius St",Weltevreden Park - Thursday - 19:30,"1140 Cornelius St, Weltevredenpark, Johannesburg, 1709, South Africa",1.25,True
thursday,JOHANNESBURG,7:30 pm,Bryanston - Thursday - 19:30,"115 Grosvenor Rd 7:30 pm    Northcliff - Thursday - 19:30 (LGBTQ) 45 Lily Ave, Northcliff, Randburg, 2115,",Bryanston - Thursday - 19:30,"115 Grosvenor Rd, Bryanston, Sandton, 2191, South Africa",1.25,True
thursday,JOHANNESBURG,7:30 pm,Northcliff - Thursday - 19:30 (LGBTQ),"45 Lily Ave, Northcliff, Randburg, 2115, South Africa, 45 Lily Ave 7:30 pm    Alberton - Thursday - 19:30",Northcliff - Thursday - 19:30 (LGBTQ),"45 Lily Ave, Northcliff, Johannesburg, 2115, South Africa",1.25,True
thursday,JOHANNESBURG,7:30 pm,Alberton - Thursday - 19:30,"Alberton Civic Center, 3rd floor. Alwyn taljaard Ave, New Redruth, Alberton, 1449, South Africa, Alwyn Taljaard Ave",Alberton - Thursday - 19:30,"Alwyn Taljaard Ave, New Redruth, Alberton, 1449, South Africa",1.25,True
thursday,JOHANNESBURG,7:30 pm,Midrand - Thursday - 19:30,"Calvary Methodist Church, Harry Galaun Dr 7:30 pm    Forest Town - Thursday - 19:30",Midrand - Thursday - 19:30,"Harry Galaun Dr, Halfway Gardens, Midrand, South Africa",1.25,True
thursday,JOHANNESBURG,7:30 pm,Forest Town - Thursday - 19:30,"St Francis Methodist Church, 1 Talton Road, Forest Town, 1 Talton Rd KWAZULU-NATAL: KWAZULU-NATAL",Forest Town - Thursday - 19:30,"1 Talton Rd, Forest Town, Johannesburg, 2193, South Africa",1.25,True
thursday,KWAZULU-NATAL,6:30 pm,Hillcrest Thursday,"Hillcrest Presbyterian Family Church, 1A Old Main Rd 6:30 pm    Umhlanga Thursday                            LIT, O",Hillcrest Thursday,"1A Old Main Rd, Hilldene, Hillcrest, 3610, South Africa",1.25,True
thursday,KWAZULU-NATAL,6:30 pm,Umhlanga Thursday,"Immanuel Church, 6 Bruton Cl 6:30 pm    Margate Thursday                                 C Margate Methodist Church, Valley Rd",Umhlanga Thursday,"6 Bruton Cl, Somerset Park, uMhlanga, 4319, South Africa",1.25,True
thursday,KWAZULU-NATAL,6:30 pm,Margate Thursday,"Margate Methodist Church, Valley Rd",Margate Thursday,"Valley Rd, Uvongo, Margate, 4270, South Africa",1.25,True
thursday,KWAZULU-NATAL,7 pm,Tongaat Thursday,"Belverdere Community Centre, 176 Belvedere Dr 7 pm      Umhlali Thursday                                 C",Tongaat Thursday,"176 Belvedere Dr, Belvedere, oThongathi, 4399, South Africa",1.25,True
thursday,KWAZULU-NATAL,7 pm,Umhlali Thursday,"Christ Church North Coast, G6C8+MR oThongathi 7 pm      Sydenham Men's Meeting                        C, M",Umhlali Thursday,G6C8+MR oThongathi,1.25,True
thursday,KWAZULU-NATAL,7 pm,Sydenham Men's Meeting,"Collegevale Primary School, 14 College Rd 7 pm      Richards Bay Thursday                            O Good Tidings Full Gospel Church, 20 Brake",Sydenham Men's Meeting,"14 College Rd, Overport, Berea, 4067, South Africa",1.25,True
thursday,KWAZULU-NATAL,7 pm,Richards Bay Thursday,"Good Tidings Full Gospel Church, 20 Brake Fern 7 pm      Phoenix Thursday                                 O",Richards Bay Thursday,"20 Brake Fern, Brackenham, Richards Bay, 3900, South Africa",1.25,True
thursday,KWAZULU-NATAL,7 pm,Phoenix Thursday,"Rock Foundation Ministries, corner of Strandbrook and Towerbrook, 70 Strandbrook Cres",Phoenix Thursday,"70 Strandbrook Cres, Brookdale, Phoenix, 4068, South Africa",1.25,True
thursday,KWAZULU-NATAL,7:30 pm,Newlands West Thursday,"Blessed Liberat Catholic Church, Hilldale Dr & Jackscastle Ave 7:30 pm   Together We Can - Fynnlands Group                O",Newlands West Thursday,"Hilldale Dr &amp; Jackscastle Ave, Steelcastle, Newlands West, 4037, South Africa",1.25,True
thursday,KWAZULU-NATAL,7:30 pm,Together We Can - Fynnlands Group,"Fynnlands Primary School, 400 Lighthouse Rd 7:30 pm   Queensburgh Thursday                             O",Together We Can - Fynnlands Group,"400 Lighthouse Rd, Fynnlands, Durban, 4052, South Africa",1.25,True
thursday,KWAZULU-NATAL,7:30 pm,Queensburgh Thursday,"Queensburgh Community Hall, 420 Main Rd 7:30 pm   PMB Northdale Thursday                           O",Queensburgh Thursday,"420 Main Rd, Escombe, Queensburgh, 4093, South Africa",1.25,True
thursday,KWAZULU-NATAL,7:30 pm,PMB Northdale Thursday,"Raisethorpe High School, 635 Dr Chota Motala Rd PRETORIA: PRETORIA",PMB Northdale Thursday,"635 Dr Chota Motala Rd, Raisethorpe, Pietermaritzburg, 3201, South Africa",1.25,True
thursday,PRETORIA,7 pm,Thursday Bonfire,"Garsfontein, 446 Zita St 7 pm      Booysens Meeting - Thursday                      O New Apostolic Church Booysens, 1249",Thursday Bonfire,"446 Zita St, Garsfontein, Pretoria, 0081, South Africa",1.25,True
thursday,PRETORIA,7 pm,Booysens Meeting - Thursday,"New Apostolic Church Booysens, 1249 Beacon St 7 pm      Thursday Queenswood Meeting                   O, Y",Booysens Meeting - Thursday,"1249 Beacon St, Booysens, Pretoria, 0082, South Africa",1.25,True
thursday,PRETORIA,7 pm,Thursday Queenswood Meeting,"Queenswood, 239 Stead Ave 7 pm      Thursday Rooihuiskraal                       C, LIT Rooihuiskraal, 140 Hofsanger Rd",Thursday Queenswood Meeting,"239 Stead Ave, Queenswood, Pretoria, 0186, South Africa",1.25,True
thursday,PRETORIA,7 pm,Thursday Rooihuiskraal,"Rooihuiskraal, 140 Hofsanger Rd PRETORIA: RUSTENBURG 6:30 pm   Thursday Rustenburg Meeting                      O",Thursday Rooihuiskraal,"140 Hofsanger Rd, Rooihuiskraal, Centurion, 0154, South Africa",1.25,True
thursday,RUSTENBURG,6:30 pm,Thursday Rustenburg Meeting,"Rustenburg, Cuckoo Ave WESTERN CAPE: WESTERN CAPE 1 pm      Observatory (Observatory Express)",Thursday Rustenburg Meeting,"Cuckoo Ave, Rustenburg, South Africa",1.25,True
thursday,WESTERN CAPE,1 pm,Observatory (Observatory Express),"Cape Town Drug Counselling Centre, 1 Roman Rd 6 pm      Beacon Of Hope NA",Observatory (Observatory Express),"1 Roman Rd, Observatory, Cape Town, 7925, South Africa",1.25,True
thursday,WESTERN CAPE,6 pm,Beacon Of Hope NA,"Cnr of Dolfyn Street and 5th ,Onse Hoop Sentrum ,Struisbaai Noord, 27 5th Ave 7 pm      Young People's Meeting",Beacon Of Hope NA,"27 5th Ave, Struisbaai, 7285, South Africa",1.25,True
thursday,WESTERN CAPE,7 pm,Young People's Meeting,"Mountain View Baptist Church, 24 Service Rd 7 pm      Paarl Thursday",Young People's Meeting,"24 Service Rd, Muizenberg, Cape Town, 7945, South Africa",1.25,True
